source_year,domain,sentence_id,text,target,category,polarity,label,from_idx,to_idx
2014,restaurant,3121,But the staff was so horrible to us.,staff,NONE,negative,0,8,13
2014,restaurant,2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,NONE,positive,2,57,61
2014,restaurant,1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,NONE,positive,2,4,8
2014,restaurant,1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,NONE,positive,2,55,62
2014,restaurant,1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,NONE,neutral,1,141,145
2014,restaurant,2846,"Not only was the food outstanding, but the little 'perks' were great.",food,NONE,positive,2,17,21
2014,restaurant,2846,"Not only was the food outstanding, but the little 'perks' were great.",perks,NONE,positive,2,51,56
2014,restaurant,1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,NONE,positive,2,27,62
2014,restaurant,1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,NONE,positive,2,76,83
2014,restaurant,1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,NONE,neutral,1,152,157
2014,restaurant,1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,NONE,neutral,1,113,117
2014,restaurant,3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,NONE,positive,2,4,10
2014,restaurant,2391,Nevertheless the food itself is pretty good.,food,NONE,positive,2,17,21
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,NONE,negative,0,41,46
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,NONE,negative,0,18,28
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,NONE,negative,0,126,131
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,NONE,neutral,1,73,79
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,NONE,negative,0,57,68
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,NONE,neutral,1,170,175
2014,restaurant,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,NONE,neutral,1,86,92
2014,restaurant,1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,NONE,neutral,1,82,88
2014,restaurant,1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,NONE,neutral,1,32,37
2014,restaurant,2200,The design and atmosphere is just as good.,design,NONE,positive,2,4,10
2014,restaurant,2200,The design and atmosphere is just as good.,atmosphere,NONE,positive,2,15,25
2014,restaurant,3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,NONE,positive,2,51,58
2014,restaurant,3359,The pizza is the best if you like thin crusted pizza.,pizza,NONE,positive,2,4,9
2014,restaurant,3359,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,NONE,neutral,1,34,52
2014,restaurant,3534,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,NONE,positive,2,28,47
2014,restaurant,3534,"All the money went into the interior decoration, none of it went to the chefs.",chefs,NONE,negative,0,72,77
2014,restaurant,1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,NONE,negative,0,4,9
2014,restaurant,565,"I asked for seltzer with lime, no ice.",seltzer with lime,NONE,neutral,1,12,29
2014,restaurant,675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,NONE,positive,2,77,84
2014,restaurant,675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,NONE,positive,2,91,122
2014,restaurant,2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,NONE,neutral,1,74,80
2014,restaurant,2227,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,NONE,positive,2,20,36
2014,restaurant,3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,NONE,positive,2,24,28
2014,restaurant,3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,NONE,positive,2,34,39
2014,restaurant,3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,NONE,positive,2,62,69
2014,restaurant,2191,Faan's got a great concept but a little rough on the delivery.,delivery,NONE,negative,0,53,61
2014,restaurant,270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,NONE,positive,2,20,24
2014,restaurant,270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,NONE,positive,2,38,48
2014,restaurant,270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,NONE,positive,2,66,73
2014,restaurant,638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,NONE,positive,2,6,10
2014,restaurant,638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,NONE,positive,2,25,31
2014,restaurant,388,this little place has a cute interior decor and affordable city prices.,interior decor,NONE,positive,2,29,43
2014,restaurant,388,this little place has a cute interior decor and affordable city prices.,prices,NONE,positive,2,64,70
2014,restaurant,3373,Two words: Free wine.,wine,NONE,positive,2,16,20
2014,restaurant,3192,"The quantity is also very good, you will come out satisfied.",quantity,NONE,positive,2,4,12
2014,restaurant,391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,NONE,neutral,1,118,123
2014,restaurant,391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,NONE,neutral,1,146,155
2014,restaurant,2384,The fried rice is amazing here.,fried rice,NONE,positive,2,4,14
2014,restaurant,2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,NONE,positive,2,42,49
2014,restaurant,2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,NONE,positive,2,51,74
2014,restaurant,2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,NONE,positive,2,79,110
2014,restaurant,2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,NONE,positive,2,118,140
2014,restaurant,2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,NONE,neutral,1,6,13
2014,restaurant,3404,it's a perfect place to have a amanzing indian food.,indian food,NONE,positive,2,40,51
2014,restaurant,648,I just wonder how you can have such a delicious meal for such little money.,meal,NONE,positive,2,48,52
2014,restaurant,648,I just wonder how you can have such a delicious meal for such little money.,money,NONE,positive,2,69,74
2014,restaurant,430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,NONE,positive,2,84,93
2014,restaurant,1101,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,NONE,neutral,1,35,48
2014,restaurant,324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,NONE,neutral,1,75,83
2014,restaurant,2783,This is a consistently great place to dine for lunch or dinner.,lunch,NONE,neutral,1,47,52
2014,restaurant,2783,This is a consistently great place to dine for lunch or dinner.,dinner,NONE,neutral,1,56,62
2014,restaurant,2783,This is a consistently great place to dine for lunch or dinner.,dine,NONE,positive,2,38,42
2014,restaurant,2983,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,NONE,positive,2,5,15
2014,restaurant,2983,"Nice atmosphere, the service was very pleasant and the desert was good.",service,NONE,positive,2,21,28
2014,restaurant,2983,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,NONE,positive,2,55,61
2014,restaurant,627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,NONE,positive,2,39,42
2014,restaurant,627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,NONE,neutral,1,60,65
2014,restaurant,627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,NONE,neutral,1,74,80
2014,restaurant,3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,NONE,positive,2,9,16
2014,restaurant,3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,NONE,positive,2,28,32
2014,restaurant,3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,NONE,positive,2,52,62
2014,restaurant,3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,NONE,positive,2,67,78
2014,restaurant,2787,Try the lasagnette appetizer.,lasagnette appetizer,NONE,positive,2,8,28
