source_year,domain,sentence_id,text,target,category,polarity,label,from_idx,to_idx
2014,laptop,2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,NONE,neutral,1,41,45
2014,laptop,2339,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,NONE,positive,2,74,86
2014,laptop,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,NONE,negative,0,27,41
2014,laptop,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",NONE,negative,0,109,121
2014,laptop,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,NONE,neutral,1,4,12
2014,laptop,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,NONE,positive,2,14,21
2014,laptop,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,NONE,positive,2,36,39
2014,laptop,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,NONE,positive,2,118,130
2014,laptop,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,NONE,positive,2,143,146
2014,laptop,2789,Easy to start up and does not overheat as much as other laptops.,start up,NONE,positive,2,8,16
2014,laptop,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,NONE,positive,2,46,54
2014,laptop,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,NONE,positive,2,77,82
2014,laptop,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,NONE,positive,2,84,94
2014,laptop,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,NONE,positive,2,96,107
2014,laptop,80,Great laptop that offers many great features!,features,NONE,positive,2,36,44
2014,laptop,917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,NONE,negative,0,89,92
2014,laptop,917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,NONE,negative,0,94,100
2014,laptop,917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,NONE,neutral,1,111,122
2014,laptop,917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,NONE,negative,0,131,147
2014,laptop,1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,NONE,neutral,1,87,94
2014,laptop,38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,NONE,positive,2,50,66
2014,laptop,38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,NONE,negative,0,108,112
2014,laptop,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,NONE,positive,2,13,33
2014,laptop,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,NONE,positive,2,44,57
2014,laptop,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,NONE,neutral,1,73,87
2014,laptop,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,NONE,neutral,1,115,121
2014,laptop,2568,I love the way the entire suite of software works together.,suite of software,NONE,positive,2,26,43
2014,laptop,295,The speed is incredible and I am more than satisfied.,speed,NONE,positive,2,4,9
2014,laptop,2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,NONE,positive,2,40,49
2014,laptop,2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,NONE,negative,0,21,32
2014,laptop,743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,NONE,neutral,1,50,58
2014,laptop,743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,NONE,negative,0,111,117
2014,laptop,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,NONE,positive,2,67,74
2014,laptop,2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",NONE,positive,2,32,46
2014,laptop,2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,NONE,neutral,1,80,86
2014,laptop,92,The machine is slow to boot up and occasionally crashes completely.,boot up,NONE,negative,0,23,30
2014,laptop,1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,NONE,negative,0,46,53
2014,laptop,1574,I love the operating system and the preloaded software.,operating system,NONE,positive,2,11,27
2014,laptop,1574,I love the operating system and the preloaded software.,preloaded software,NONE,positive,2,36,54
2014,laptop,3073,The best thing about this laptop is the price along with some of the newer features.,price,NONE,positive,2,40,45
