sentence_id,text,target,polarity,label,predicted,predicted_label,correct
6,Order the Tortilla Soup,Tortilla Soup,positive,2,neutral,1,False
959,"Watch out for the wood flooring on the way to the restrooms, it ramps up and back down again right by the end of the bar.",wood flooring,neutral,1,positive,2,False
242,Purse Hooks Under the Bar,purse hooks,positive,2,neutral,1,False
1860,"Burger, curry, cheese plate...it's all good here.","Burger, curry, cheese plate",positive,2,neutral,1,False
1841,"Great food, more of a family atmosphere than the other locals.  Looks like a fun place to watch a game, but there is no sound on the tvs.",family atmosphere,positive,2,negative,0,False
1723,Strawberry pie to go!,Strawberry pie,neutral,1,positive,2,False
868,"BBQ hits Oak
Wafting scent of hickory 
So good you will SQUEAL

#NOLA_Haiku #Haiku
#SquealBBQ #NOLAEats
#NOLABBQ #Squeal",Wafting scent of hickory,neutral,1,positive,2,False
1699,"Overpriced. It's fine, but you can get better Mexican and margaritas elsewhere for a smaller bill and little wait time.",wait time,positive,2,negative,0,False
1010,I had a lobster roll to go. Seems pricy but was great. New location nice,lobster roll,positive,2,neutral,1,False
1518,"If Barbara's Downfall is available on the daiquiri menu, order it. You won't regret it.",daiquiri menu,neutral,1,positive,2,False
1576,"Note:  The lobster roll is now $9.95 due to ""increased cost"".",increased cost,negative,0,neutral,1,False
1543,Excellent lunch and thoroughly emjoyed food and ambiance!,food,neutral,1,positive,2,False
1021,"Okay burger place. Seemed very promising. 
Overpriced burgers and okay service.",service,neutral,1,negative,0,False
1689,Short wait tonight.,wait,positive,2,negative,0,False
341,The Friday crowd at 7 is pretty heavy. Try to come early because Happy hour ends at 7.,Happy hour,neutral,1,negative,0,False
612,"I got the last Mad Hopper on cask! Good for me, bad for you...",Mad Hopper on cask,positive,2,negative,0,False
853,Clam chowder was good; other stuff--not so much.  No dessert.,dessert,neutral,1,negative,0,False
21,This place had great coffee but the owner sold it so it not there anymore.,owner sold the place,neutral,1,negative,0,False
1118,"Be sure to check price for cold brew nitro, or you're in for a scary surprise.",cold brew nitro,neutral,1,negative,0,False
1248,Leslie is a great server. No kids menu but they love the bunny bites and fried artichokes!,kids menu,neutral,1,negative,0,False
1852,Chips and salsa is really good.  The salsa is spicy,salsa,neutral,1,positive,2,False
330,"Learned the hard way, closed on Mondays.",closed on Mondays,neutral,1,negative,0,False
918,Finally we're seated for dinner....,seated,neutral,1,positive,2,False
947,"Great place that is open until 6pm to ship from. A lot of people don't know this but that also offer USPS mail so when the post office is slammed busy at lunch, come here. Same rates and way friendlier staff!",rates,neutral,1,positive,2,False
1770,Use your Costco card for discounts on rentals and join Fastbreak to save time and bypass the counter,Costco card,positive,2,neutral,1,False
1478,Felt jipped by the quality of the food. Other Zea's locations like Baton Rouge and Clearview are significantly better.,quality of the food,negative,0,positive,2,False
1869,"no beer, stick to the shack outside",beer,negative,0,neutral,1,False
1848,"Just used GrubHub for a delivery. Food took over an hour and a half to be delivered, sauce on pasta was supposed to be on side, food leaking from containers, no utensils.
I asked for a few sides and got none.
Buh bye, Little Italy.",GrubHub,neutral,1,negative,0,False
