sentence_id,text,target,polarity,label
1255,The Cinnabuns are absolutely scrumptious! Be sure to order one during your next visit.,Cinnabuns,positive,2
521,Be prepared for a LONG wait for your food!!,wait,negative,0
846,Free steak dinner on your birthday!,steak dinner,neutral,1
602,Great food great people... Pizza is one of the best,food,positive,2
1482,You can order anything from burgers and spaghetti to fish and chips or sushi from this diverse menu!,sushi,neutral,1
304,Troegs java head stout with a breakfast burrito.,Troegs java head stout,neutral,1
1317,"6.99 lunch special (unlimited soup, salad, and breadsticks)","unlimited soup, salad, and breadsticks",positive,2
489,"I have yet to eat inside but their porch area was great. The service was super friendly, the margaritas are good but a tad overpriced, and their corn on the cob is fantastic.",margaritas,neutral,1
1175,"Real Chicago Dogs and Italian Beef? I'm in heaven! (or at least back in Chicago...). Outdoor seating only - order at the window. But it's authentic, and worth the stop!",Outdoor seating,neutral,1
1369,Excellent customer service!,customer service,positive,2
1820,"Perfect on a cold weekend with kids.  Hoops or climbing wall for kids and Dad.  Hot yoga or weights for Mom.  Lunch at the cafe (healthy choices!), then swim for everyone.",cafe,positive,2
231,And TAMALES !!!! The most amazingingly awesome tamales ! $8 for 6 and yum !!,$8 for 6,positive,2
1490,Limited groceries and great selection!,selection,positive,2
986,Souffle or breakfast sanwich? Now they cost the. Same and both taste delish.,Souffle,positive,2
1684,"Parking is always problematic in this tiny shopping plaza,l. If you don't wanna valet, I always park right across the street a few feet away at the ""Medi-Weightloss/ Optical outlets plaza. That's actually where the valets park the cars. I saw one got a car from there today!",valets,neutral,1
1662,"Try the Bordeaux salad, it's wonderful",Bordeaux salad,positive,2
1162,Great lunch on the west bank... Grilled stuffed catfish with Lafayette pasta is my favorite lunch when on the west bank...,west bank,neutral,1
234,"I ate Here Friday with a friend an its so good! Monday threw Friday 2 to 5:00 half off appetizers.They are really good.I had the Pho Tai an Cold spring rolls they were amazing,So delicious.Then I was full but greedy I got a Vietnamese poor boy to go but, wanted to taste it an it was so good ended up eating half of it. I felt bad for being greedy but it was really delicious very tasty!!!! I live on the Westbank but don't mind traveling for so good authentic Vietnamese food!!!!!",Pho Tai,positive,2
1830,Awesome time. Game was 15 minutes. Played in arcade while we waited for 30 minutes. Come with a fat wallet or dont waste your time.,Game,neutral,1
40,"Good specials, nice menu",specials,positive,2
