source_year,domain,sentence_id,text,target,polarity
custom,custom,1255,The Cinnabuns are absolutely scrumptious! Be sure to order one during your next visit.,Cinnabuns,positive
custom,custom,521,Be prepared for a LONG wait for your food!!,wait,negative
custom,custom,846,Free steak dinner on your birthday!,steak dinner,neutral
custom,custom,602,Great food great people... Pizza is one of the best,food,positive
custom,custom,1482,You can order anything from burgers and spaghetti to fish and chips or sushi from this diverse menu!,sushi,neutral
custom,custom,304,Troegs java head stout with a breakfast burrito.,Troegs java head stout,neutral
custom,custom,1317,"6.99 lunch special (unlimited soup, salad, and breadsticks)","unlimited soup, salad, and breadsticks",positive
custom,custom,489,"I have yet to eat inside but their porch area was great. The service was super friendly, the margaritas are good but a tad overpriced, and their corn on the cob is fantastic.",margaritas,neutral
custom,custom,1175,"Real Chicago Dogs and Italian Beef? I'm in heaven! (or at least back in Chicago...). Outdoor seating only - order at the window. But it's authentic, and worth the stop!",Outdoor seating,neutral
custom,custom,1369,Excellent customer service!,customer service,positive
custom,custom,1820,"Perfect on a cold weekend with kids.  Hoops or climbing wall for kids and Dad.  Hot yoga or weights for Mom.  Lunch at the cafe (healthy choices!), then swim for everyone.",cafe,positive
custom,custom,231,And TAMALES !!!! The most amazingingly awesome tamales ! $8 for 6 and yum !!,$8 for 6,positive
custom,custom,1490,Limited groceries and great selection!,selection,positive
custom,custom,986,Souffle or breakfast sanwich? Now they cost the. Same and both taste delish.,Souffle,positive
custom,custom,1684,"Parking is always problematic in this tiny shopping plaza,l. If you don't wanna valet, I always park right across the street a few feet away at the ""Medi-Weightloss/ Optical outlets plaza. That's actually where the valets park the cars. I saw one got a car from there today!",valets,neutral
custom,custom,1662,"Try the Bordeaux salad, it's wonderful",Bordeaux salad,positive
custom,custom,1162,Great lunch on the west bank... Grilled stuffed catfish with Lafayette pasta is my favorite lunch when on the west bank...,west bank,neutral
custom,custom,234,"I ate Here Friday with a friend an its so good! Monday threw Friday 2 to 5:00 half off appetizers.They are really good.I had the Pho Tai an Cold spring rolls they were amazing,So delicious.Then I was full but greedy I got a Vietnamese poor boy to go but, wanted to taste it an it was so good ended up eating half of it. I felt bad for being greedy but it was really delicious very tasty!!!! I live on the Westbank but don't mind traveling for so good authentic Vietnamese food!!!!!",Pho Tai,positive
custom,custom,1830,Awesome time. Game was 15 minutes. Played in arcade while we waited for 30 minutes. Come with a fat wallet or dont waste your time.,Game,neutral
custom,custom,40,"Good specials, nice menu",specials,positive
custom,custom,1119,Just look at the portfolios.  Stop in and get a feel for the place.  Awesome Machine Productions!,place,positive
custom,custom,251,Complimentary BBQ chips today!  What a nice surprise!,BBQ chips,positive
custom,custom,1615,They are out of frog legs :(,frog legs,negative
custom,custom,1566,"If you're looking for a traditional dim sum experience, it's not here.",dim sum experience,negative
custom,custom,1701,Gotta love Irish music and appreciate good service.  Tigger is great and knows the menu inside and out.,Irish music,positive
custom,custom,1815,Ask for lettuce and ssamjang with your Bulgogi here.,Bulgogi,neutral
custom,custom,1293,Slow service but the empanadas were tasty.,empanadas,positive
custom,custom,372,The place is swank....and very affordable! Try it...today,swank,positive
custom,custom,489,"I have yet to eat inside but their porch area was great. The service was super friendly, the margaritas are good but a tad overpriced, and their corn on the cob is fantastic.",margaritas,negative
custom,custom,1775,Chamomile grits with Orange syrup and spiced pecans!,Chamomile grits with Orange syrup and spiced pecans,neutral
custom,custom,1356,"Pizza slices, brownie and salad.",salad,neutral
custom,custom,641,No AC here but taking out.,No AC,negative
custom,custom,1115,We love coming here when in Philadelphia. Nice food and great prices,food,positive
custom,custom,1148,Must try honey biscuit. It's like a hybrid of baklava and shortbread. Yum!!!!!,shortbread,neutral
custom,custom,880,"They're very inconsistent with water. Sometimes they give you free bottles of water (because they don't have anything else) and sometimes they give you tap water, which doesn't taste so great. I would maybe bring your own water, because the pizza is just too damn good to care about water issues.",free bottles of water,neutral
custom,custom,5,Starbucks substitute in boring downtown Tampa. Ugh. Never again!,downtown Tampa,negative
custom,custom,1014,Thursdays half off wine.,wine,positive
custom,custom,766,I really like their tea fruit drinks and frozen sorbets. Very refreshing.,tea fruit drinks,positive
custom,custom,49,The music in the bar is a bit loud!,music volume,negative
custom,custom,850,Build your own salad is Ahhh-mazing.,Build your own salad,positive
custom,custom,1542,"At $5, only 16 oz. and full of ice, the cold brew may be the biggest rip off in Nashville.",$5,negative
custom,custom,477,"The Chopped Shrimp, Creole Rib, and Calypso Beef were three great tacos to start with on Taco Tuesday.",Chopped Shrimp,positive
custom,custom,1345,Best Rubin on town.,Rubin,positive
custom,custom,26,Great fish and chips!!,fish and chips,positive
custom,custom,220,"Hot dog! Best selection in town, home style fries, good fries pickles.  Super friendly people.  Eat here!",fries pickles,positive
custom,custom,1736,Don't order online. Pay in store or you will wait forever!,order online,negative
custom,custom,1405,Mack n cheese bites keep me coming back,Mack n cheese bites,positive
custom,custom,102,They have bathrooms in the restaurant.,bathrooms,neutral
custom,custom,1297,Prices are higher than the menu on their website.,Prices,negative
custom,custom,1,They have lots of good deserts and tasty cuban sandwiches,deserts,positive
custom,custom,1616,"Take the 30 seconds to sign up for IKEA family. You'll get a free coffee or tea with unlimited refills every day, no purchase required!",tea,positive
custom,custom,52,College crowd dive bar scene. Friendly folks & lots of Irish eye candy ;) hahaha,college crowd dive bar scene,neutral
custom,custom,112,"Met one of the owners, awesome vibe in the place",owner,positive
custom,custom,230,"Good food, really loud hard to carry on a conversation.",loud environment,negative
custom,custom,747,The best escarole soup!,escarole soup,positive
custom,custom,996,"Breakfast every morning 6 AM to 10 AM. 
Huge number of options.... Sont waste money on Starbucks next door. Grab the same coffee in breakfast",options,positive
custom,custom,1779,Cash only and self serve. Come early to get them fresh !,them,positive
custom,custom,140,Best sushi and Asian food that I've had in STL!,sushi and Asian food,positive
custom,custom,18,Icky on tap,tap drink,negative
custom,custom,1259,10% off wine when you buy 6,wine,positive
custom,custom,1515,Love this place! I'm glad that Yelp offered 50 percent off appetizer!,appetizer,neutral
custom,custom,345,Seriously order the trashed wings,trashed wings,positive
custom,custom,285,They have Trinidadian pepper sauce!,Trinidadian pepper sauce,positive
custom,custom,1572,Great music. But don't touch Miriam's Castillo bottle.,music,positive
custom,custom,1572,Great music. But don't touch Miriam's Castillo bottle.,Miriam's Castillo bottle,negative
custom,custom,556,Use the phone app and preload for ease of payment.,phone app,positive
custom,custom,1420,Some of the best sweet tea I've ever had!,sweet tea,positive
custom,custom,1844,gave me candles for my cake! so nice,my cake,positive
custom,custom,1367,"Happy Hour $5 glasses of wine are only for house wines! Beware, as there's no info on that anywhere.",house wines,negative
custom,custom,13,The pimento cheese tastes great and is a large portion for a starter - great for sharing!  The fried pickles are also awesome!,fried pickles,positive
custom,custom,1630,"Hot chocolate, splash of caramel",Hot chocolate,neutral
custom,custom,989,1 Margarita.    Floor,Margarita,neutral
custom,custom,1293,Slow service but the empanadas were tasty.,service,negative
custom,custom,23,The honey glazed salmon is amazing!,honey glazed salmon,positive
custom,custom,1079,Ahi tuna app is melt-in-your-mouth delicious and the perfect portion size for one person.,Ahi tuna app,positive
custom,custom,507,Good food and service. Great for family dinner!,food,positive
custom,custom,1215,"Food is average at best.  Service is ""rude hipster"".  If you want pizza try Mid City Pizza across the street.",pizza,neutral
custom,custom,256,Cajun corn fritters!!!,Cajun corn fritters,positive
custom,custom,1668,Horrible service!,service,negative
custom,custom,1325,Ginger cookie with lemon ice cream yum!,lemon ice cream,positive
custom,custom,298,"Always sit at sushi bar and only had the sushi, always awesome!",sushi bar,positive
custom,custom,1016,Omg im addicted to the chicken jalapeno! Other dishes tasty as well! Im hooked,Other dishes,positive
custom,custom,617,"Once again out of main dish I like and out of iced tea, 0-2 this week.",main dish,negative
custom,custom,100,The Duchess = combo of marzipan on cream on lemon/raspberry white cake that's moist and yummy (better than this sounds!). Worth the price.,marzipan on cream on lemon/raspberry white cake,positive
custom,custom,1666,Great food....!,food,positive
custom,custom,739,"Taco's were ok, not much to them. Nothing special...  And they messed up our order..",order,negative
custom,custom,844,Tons of boba choices including taro! You can also get lychee jelly instead of tapioca- yum!!,boba choices,positive
custom,custom,1307,Love their pastries and drinks!,drinks,positive
custom,custom,386,"$$$cash only, cash only, cash only ! $$$",cash only,neutral
custom,custom,1263,"Smelled good, just in grabbing the dollar off orange leaf coupon tho, make sure to get one",coupon,neutral
custom,custom,1848,"Just used GrubHub for a delivery. Food took over an hour and a half to be delivered, sauce on pasta was supposed to be on side, food leaking from containers, no utensils.
I asked for a few sides and got none.
Buh bye, Little Italy.",utensils,negative
custom,custom,703,Lots to choose from if you don't mind fighting the crowds and foreign people.,crowds,negative
custom,custom,1806,A secret gem!!!!!! Forget yogurt and ice cream and stop by here after dinner!!,yogurt and ice cream,neutral
custom,custom,1026,"It's pretty cheap meat, at really expensive prices. So, if you're a quantity versus quality kind of person, maybe you'll like it! We did not.",meat,negative
custom,custom,1072,Good customer service. Nice selection. Good sales.,sales,positive
custom,custom,233,This is the undisputed breakfast champion on Dunedin. How is it that gay restaurants are so good.,breakfast,positive
custom,custom,1726,"My new favorite Korean spot in town. Excellent service, great for groups and delicious fresh food! Try the dumplings, beef spring roll and beef bulgogi!",dumplings,positive
custom,custom,1841,"Great food, more of a family atmosphere than the other locals.  Looks like a fun place to watch a game, but there is no sound on the tvs.",tvs,negative
custom,custom,1283,"For B vitamin shots, talk to Ellen on Monday, Tuesday or Wednesday.",Ellen,neutral
custom,custom,1334,The gyros are amazing! You can get a small greek salad with it for a little more money. So worth it!,small greek salad,positive
custom,custom,919,"Great food, fun place!",food,positive
custom,custom,1803,Omg is the chocolate baklava soooo good,chocolate baklava,positive
custom,custom,1783,There not much say here. Food OK,Food,neutral
custom,custom,1467,Service is very friendly. Plates tailor made. And the owner said I'm gonna love his Tabbouli.,Plates,neutral
custom,custom,984,Drink like a madman!,Drink,neutral
custom,custom,143,"Try the calamari, the chicken Marsala was great, and the ossobuco special was delicious. Great place, highly recommended!",ossobuco special,positive
custom,custom,1390,Try anything with the BBQ shrimp or it's sauce for a variation!,it's sauce,positive
custom,custom,1487,The waitress Tamara is great! So is the shrimp scampi zucchini fettuccine (though it could use less zucchini and more fettuccine).,zucchini,negative
custom,custom,827,Great beer selection and reasonably priced drinks.,beer selection,positive
custom,custom,1525,"Crazy busy tonight. So happy for the owners.  Wine and beer is available now!

If you're a newbie don't sweat the menu - it comes down to wrap or plate;  protein choice; sauce; and side.  Awesome dumplings and spring rolls for appetizers.",dumplings,positive
custom,custom,1706,"If you're using your phone app to pay in drive through, turn phone away from the sun for easy scanning.",scanning,neutral
custom,custom,387,Good fro yo,fro yo,positive
custom,custom,525,"Excellent sushi and sashimi, great selection of beer.",selection of beer,positive
custom,custom,378,Wine tastings for happy hour,wine tastings,positive
custom,custom,873,"The food at Grille 39 is amazing. Chef Phil creates the best salads, finger foods, and little sandwiches for the lunch buffet. My favorites are the crab cake sliders and homemade potato chips. The lobster bisque is so smooth and creamy....Yum. I am always pleasantly surprised with the lunch buffet.",finger foods,positive
custom,custom,1358,Delicious for spring rolls and shrimp papaya salad.,shrimp papaya salad,positive
custom,custom,205,"The richest, most divine fresh heavy cream comes from Tanner's.   With a balloon whisk, I hand-beat this cream into decadent Creme Chantilly in less than two minutes.   Left to his own devices, BAE would consume this whipped cream by the bowlful.",fresh heavy cream,positive
custom,custom,1709,Completely unhelpful assistance in the linens department.  I had already figured out that the SKU codes on the bridal registry corresponded with items somewhere in the store . . .  Uggh.,SKU codes on the bridal registry,neutral
custom,custom,1824,Steamed mussels,Steamed mussels,neutral
custom,custom,1458,I'm trying the chefs tasting!,chefs tasting,neutral
custom,custom,778,Great day to be on the patio for brunch.,patio,positive
custom,custom,793,Great wings everytime. 35 cents on Sunday,35 cents,positive
custom,custom,402,Service was exceptional and great salad and veggie burger.,service,positive
custom,custom,1510,I like the big board that has all the flight numbers and arrival numbers with the airlines name on it.,big board,neutral
custom,custom,1275,The bobbie is incredible. Get it and thank me later.,bobbie,positive
custom,custom,1341,Grouper and tofu hot pot. It's the bomb.,Grouper and tofu hot pot,positive
custom,custom,136,Excellent fresh seafood!! Friendly staff!! Clean!! Great place for dinner.,fresh seafood,positive
custom,custom,906,No boba here!,boba,negative
custom,custom,1526,There is a side entrance on Magnolia very handy for locals in the neighborhood or if you need to stop and pickup a To go order.,To go order,neutral
custom,custom,1267,"I come here a lot. Service is ok, lots of deals, sales, etc. I like how it's 24 hrs.","deals, sales, etc.",neutral
custom,custom,810,"A bit slow, but oh so worth it.  The food is awesome!",slow,negative
custom,custom,1553,"This place is trying, but the girls bartending could use some bartending school.",bartending school,negative
custom,custom,1530,PATIO PUNCH on Special Today  $7.00,PATIO PUNCH,neutral
custom,custom,1327,"Expect an incredibly long wait, even with reservations. Expect to make friends with the 10 other people waiting for their reservation.  DONT expect any sort of apology, because the servers' noses are stuck up in the air.",wait,negative
custom,custom,1728,If you sit in the lounge make sure they see you.,lounge,neutral
custom,custom,767,Always been impressed with their displays.,displays,positive
custom,custom,939,Awesome food,food,positive
custom,custom,143,"Try the calamari, the chicken Marsala was great, and the ossobuco special was delicious. Great place, highly recommended!",chicken Marsala,positive
custom,custom,1712,A cold Yuengling on a hot day gets me in the mood for pizza....lucky me...they have both here....,Yuengling,positive
custom,custom,316,"The food is amazing... Bottomless glass of wine!!!
Highly recommend...  A must do !",bottomless glass of wine,positive
custom,custom,526,Great food & lovely service! Had the lentil soup & fried spring rolls. Very yummy!,food,positive
custom,custom,725,Nice place to wait on the snowstorm of the year.,place,positive
custom,custom,1211,"I was a little disappointed in this visit. I've been here before and had a great experience. This time was not so good. The see ER seemed perturbed by our large party. No ""hello"", ""how are you"", etc. All the salads were warm. I don't know why. While the portions were generous as usual, my pasta lacked flavor and came out luke warm. The cheese cause was concealed. Cunetto's is normally fantastic. This time they missed the mark.",portions,positive
custom,custom,1604,"$15 DIY baths on Sundays! Same price as a lot of other DIY bathers, but I'd rather my money go to a non-profit!",$15 DIY baths on Sundays,neutral
custom,custom,1200,The Awe Yeah Gratin was 'awe' that and then some. Grilled tomatoes added a nice compliment to the plate.  The taters were spot on.,Grilled tomatoes,positive
custom,custom,428,Love the green curry and mango tofu. Good for vegetarians.,mango tofu,positive
custom,custom,13,The pimento cheese tastes great and is a large portion for a starter - great for sharing!  The fried pickles are also awesome!,pimento cheese,positive
custom,custom,1460,"Great food, good vibes. I like this place! #bottomlessmimosas",bottomlessmimosas,neutral
custom,custom,1596,Vaso has the worst bathrooms in Nola,bathrooms,negative
custom,custom,1759,Sit in the back room with leather chairs.,back room,neutral
custom,custom,916,Even the drive through effing sucks,drive through,negative
custom,custom,1528,Great cappuccino!!!!,cappuccino,positive
custom,custom,873,"The food at Grille 39 is amazing. Chef Phil creates the best salads, finger foods, and little sandwiches for the lunch buffet. My favorites are the crab cake sliders and homemade potato chips. The lobster bisque is so smooth and creamy....Yum. I am always pleasantly surprised with the lunch buffet.",salads,positive
custom,custom,406,Skip the soft drinks. $3.25 for a 10-ounce bottle of Coke?!,$3.25 for a 10-ounce bottle of Coke,negative
custom,custom,1479,"Pepper onion blend instead of sonoran style bacon.   Eat it with the roasted pepper! 2.50 a hot dog,  its good",2.50 a hot dog,neutral
custom,custom,527,Excellent iced coffee - better than Starbucks!,iced coffee,positive
custom,custom,606,"The manager is soooo kind, and awesome with making the salads....get him to make yours if you can!",salads,positive
custom,custom,354,"Done well. Good decor, great service and excellent food! Can't complain. A++

Can't beat 2/$20! One of the better Chilis around.",2/$20,positive
custom,custom,333,Great hamburger!,hamburger,positive
custom,custom,675,I come here often. Service is usually ok. I usually order from the McValue Menu.,Service,neutral
custom,custom,205,"The richest, most divine fresh heavy cream comes from Tanner's.   With a balloon whisk, I hand-beat this cream into decadent Creme Chantilly in less than two minutes.   Left to his own devices, BAE would consume this whipped cream by the bowlful.",Creme Chantilly,positive
custom,custom,917,Not a sit and eat place,place,negative
custom,custom,1655,Affordable hotel in walking distance to lots of downtown businesses,hotel,positive
custom,custom,284,"This place is a very good place to eat, drink and be merry! They have a pretty good selection of whiskey, especially for the area. The food is very good and the prices are pretty good.",selection of whiskey,positive
custom,custom,506,"Perfect place for a romantic dinner, first date and girls night out! Amazing atmosphere with award winning wine, doesn't get much better than this! Oh and a few blocks from the ocean!",wine,positive
custom,custom,613,Unique in a good way. Service was excellent. Food tasty. Interesting experience,Food,positive
custom,custom,1211,"I was a little disappointed in this visit. I've been here before and had a great experience. This time was not so good. The see ER seemed perturbed by our large party. No ""hello"", ""how are you"", etc. All the salads were warm. I don't know why. While the portions were generous as usual, my pasta lacked flavor and came out luke warm. The cheese cause was concealed. Cunetto's is normally fantastic. This time they missed the mark.",cheese cause,negative
custom,custom,420,Getting the Bubbly Bitch wine again.,Bubbly Bitch wine,positive
custom,custom,1737,Charity is a cool art deco style building. There is really no experience like the waiting room on a weekend night.,Charity,positive
custom,custom,504,The lobster roll is delicious!,lobster roll,positive
custom,custom,1018,Amazing cocktails!,cocktails,positive
custom,custom,1536,"Very nice as Gyms go!  Nice equipment, pool seems to be where people bathe, ( water is still there is sheen of something) Courtesy is a plus at check in.  Trainers are nice if you use them.  What can you expect for 9.95 a month.  I like to work out and move on.  Thanks!",9.95 a month,neutral
custom,custom,1601,Lobster bisque is fantastic!,Lobster bisque,positive
custom,custom,255,Salad!!!! Come to Mama!!,Salad,positive
custom,custom,154,Fried bbq oysters are a must have!,fried bbq oysters,positive
custom,custom,517,Nice little patio on the side! Cinco de Mayo celebration to tonight with drink specials and music!,drink specials,positive
custom,custom,879,"Awesome. They charged my card multiple times, nearly causing me an overdraft fee. They didn't even tell me that they had charged it multiple times. The charge had better clear off.",charged,negative
custom,custom,1857,"Dinner with the lovely and her parents. Oysters, mussels and steak frites.",Oysters,neutral
custom,custom,1419,They do have sandwiches despite not having a menu out in plain view!,sandwiches,positive
custom,custom,695,"Friendly service. Fair prices, they don't try to sell you things you don't need.",Friendly service,positive
custom,custom,56,Great good and service.,service,positive
custom,custom,524,Latte passes the test! Great English breakfast.,Latte,positive
custom,custom,1360,Chips fried in rancid oil. Don't eat!,Chips,negative
custom,custom,1675,State Dept. website has optimistic hours for the passport desk. They take lunches and apparently take some weekdays off. Call ahead.,passport desk,negative
custom,custom,317,They don't take reservations here so come early or send a scout. Best sushi in SB!,sushi,positive
custom,custom,1024,The employees were nice the place was clean food was kind of lukewarm. No beer,food,negative
custom,custom,799,"So yummy! They will make anything you want, even if it isn't on the menu.",anything,positive
custom,custom,997,Check in for a bogo beverage.,beverage,neutral
custom,custom,1388,Not the best cheese steak. Sparse with the meat. Good roll.,cheese steak,negative
custom,custom,145,"Not a big writer but quick review. Must haves are Roti Canai and Mee Siam, the Basil Noodles are also good. Was not a fan of the duck noodles (wasn't a fan so kinda forgot about them). Service was prompt.",Mee Siam,positive
custom,custom,533,"Taco Tuesday rocks!  Burrito Thursday good too. Love the chix taco, queso and chips.",queso and chips,positive
custom,custom,1797,The parking lot is enter at your own risk. Crazy busy!!,parking lot,negative
custom,custom,883,Tried the Cobb Salad and the Spinach Dip.,Spinach Dip,neutral
custom,custom,1491,"Good food good service, FBI fried banana desert is amazing",FBI fried banana desert,positive
custom,custom,1460,"Great food, good vibes. I like this place! #bottomlessmimosas",vibes,positive
custom,custom,588,The food was great! Best biscuits ever! True southern comfort food.,biscuits,positive
custom,custom,704,Best chicken ever. My kids love it and they're hard to impress.,chicken,positive
custom,custom,601,Kani Kamakazi: an afternoon delight.,Kani Kamakazi,positive
custom,custom,377,"Having a Guacamoli Bacon Burger, YUM!",Guacamoli Bacon Burger,positive
custom,custom,843,I'm told the mimosas are divine.  Food is fabulous. Servers are great.,mimosas,positive
custom,custom,1266,Try something new...white pizza with broccoli rabe. Different from the original but just as tasty.,white pizza with broccoli rabe,positive
custom,custom,1571,Sunday brunch day $16.99. Small amount of each food lol,each food,negative
custom,custom,1450,Super friendly service!  The cheddar and scallion scone is yummy.,cheddar and scallion scone,positive
custom,custom,266,Great menu and low prices,low prices,positive
